id,title,author,alt_titles,format,year
1001,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter and the Philosopher's Stone,Paperback,1998
1002,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter and the Philosopher's Stone,Hardcover Anniversary Edition,2018
1003,1984,George Orwell,Nineteen Eighty-Four,Mass Market Paperback,1961
1004,1984,George Orwell,Nineteen Eighty-Four,Centennial Hardcover Edition,2003
1005,The Alchemist,Paulo Coelho,,Paperback,1993
1006,The Alchemist,Paulo Coelho,,Hardcover Anniversary Edition,2014
1007,The Alchemist,Michael Scott,The Alchemist: The Secrets of the Immortal Nicholas Flamel,Paperback,2007
1008,Origin,Dan Brown,,Hardcover,2017
1009,Origin,Jessica Khoury,,Paperback,2012
1010,The Fellowship of the Ring,J.R.R. Tolkien,,Paperback,1954
1011,The Two Towers,J.R.R. Tolkien,,Paperback,1954
1012,The Return of the King,J.R.R. Tolkien,,Paperback,1955
1013,The Lord of the Rings,J.R.R. Tolkien,The Lord of the Rings Trilogy,Omnibus,1968
1014,The Hunger Games,Suzanne Collins,,Paperback,2008
1015,Catching Fire,Suzanne Collins,,Paperback,2009
1016,Mockingjay,Suzanne Collins,,Paperback,2010
1017,The Hunger Games Trilogy,Suzanne Collins,,Omnibus,2010
1018,"The Lion, the Witch and the Wardrobe",C.S. Lewis,,Paperback,1950
1019,Prince Caspian,C.S. Lewis,,Paperback,1951
1020,The Chronicles of Narnia,C.S. Lewis,,Omnibus,1956
1021,Gone,Michael Grant,,Paperback,2008
1022,Gone Girl,Gillian Flynn,,Hardcover,2012
1023,Gone Girl,Gillian Flynn,,Paperback,2013
1024,The Shining,Stephen King,,Paperback,1977
1025,The Shining Girls,Lauren Beukes,,Paperback,2013
1026,The Hobbit,J.R.R. Tolkien,The Hobbit: or There and Back Again,Paperback,1937
1027,The Hobbit,J.R.R. Tolkien,The Hobbit: An Unexpected Journey Movie Tie-In,Movie Tie-In Paperback,2012
1028,Percy Jackson and the Lightning Thief,Rick Riordan,The Lightning Thief,Paperback,2005
1029,The Lightning Thief,Rick Riordan,Percy Jackson and the Olympians Book 1,Paperback,2005
1030,Good Omens,Neil Gaiman and Terry Pratchett,,Paperback,1990
1031,Good Omens,Terry Pratchett and Neil Gaiman,,Movie Tie-In Paperback,2019
1032,One Hundred Years of Solitude,Gabriel García Márquez,Cien anos de soledad,Paperback,1967
1033,Love in the Time of Cholera,Gabriel Garcia Marquez,El amor en los tiempos del colera,Paperback,1985
1034,Crime and Punishment,Fyodor Dostoevsky,,Paperback,1866
1035,The Brothers Karamazov,"Dostoyevsky, Fyodor M.",,Paperback,1880
1036,War and Peace,Leo Tolstoy,,Paperback,1869
1037,Anna Karenina,"Tolstoy, Lev N.",,Paperback,1877
1038,A Game of Thrones,George R.R. Martin,A Song of Ice and Fire Book 1,Paperback,1996
1039,A Clash of Kings,"Martin, George R. R.",A Song of Ice and Fire Book 2,Paperback,1998
1040,Jane Eyre,Charlotte Bronte,,Paperback,1847
1041,Wuthering Heights,Charlotte Bronte,,Paperback,1847
1042,To Kill a Mockingbird,Harper Lee,,Paperback,1960
1043,The Great Gatsby,F. Scott Fitzgerald,,Paperback,1925
1044,Pride and Prejudice,Jane Austen,,Paperback,1813
1045,Sense and Sensibility,Jane Austen,,Paperback,1811
1046,Moby-Dick,Herman Melville,"Moby Dick; or, The Whale",Paperback,1851
1047,The Catcher in the Rye,J.D. Salinger,,Paperback,1951
1048,Brave New World,Aldous Huxley,,Paperback,1932
1049,Fahrenheit 451,Ray Bradbury,,Paperback,1953
1050,Slaughterhouse-Five,Kurt Vonnegut,,Paperback,1969
1051,The Grapes of Wrath,John Steinbeck,,Paperback,1939
1052,Of Mice and Men,John Steinbeck,,Paperback,1937
1053,East of Eden,John Steinbeck,,Paperback,1952
1054,Lord of the Flies,William Golding,,Paperback,1954
1055,Animal Farm,George Orwell,,Paperback,1945
1056,Dune,Frank Herbert,,Paperback,1965
1057,Dune Messiah,Frank Herbert,,Paperback,1969
1058,Foundation,Isaac Asimov,,Paperback,1951
1059,"I, Robot",Isaac Asimov,,Paperback,1950
1060,Neuromancer,William Gibson,,Paperback,1984
1061,Snow Crash,Neal Stephenson,,Paperback,1992
1062,Ender's Game,Orson Scott Card,,Paperback,1985
1063,The Martian,Andy Weir,,Paperback,2011
1064,Project Hail Mary,Andy Weir,,Hardcover,2021
1065,Ready Player One,Ernest Cline,,Paperback,2011
1066,The Road,Cormac McCarthy,,Paperback,2006
1067,No Country for Old Men,Cormac McCarthy,,Paperback,2005
1068,Blood Meridian,Cormac McCarthy,,Paperback,1985
1069,Beloved,Toni Morrison,,Paperback,1987
1070,The Bluest Eye,Toni Morrison,,Paperback,1970
1071,Americanah,Chimamanda Ngozi Adichie,,Paperback,2013
1072,Half of a Yellow Sun,Chimamanda Ngozi Adichie,,Paperback,2006
1073,The Kite Runner,Khaled Hosseini,,Paperback,2003
1074,A Thousand Splendid Suns,Khaled Hosseini,,Paperback,2007
1075,Life of Pi,Yann Martel,,Paperback,2001
1076,The Book Thief,Markus Zusak,,Paperback,2005
1077,All the Light We Cannot See,Anthony Doerr,,Hardcover,2014
1078,The Curious Incident of the Dog in the Night-Time,Mark Haddon,,Paperback,2003
1079,Where the Crawdads Sing,Delia Owens,,Hardcover,2018
1080,Educated,Tara Westover,,Hardcover,2018
1081,Becoming,Michelle Obama,,Hardcover,2018
1082,Sapiens,Yuval Noah Harari,Sapiens: A Brief History of Humankind,Paperback,2011
1083,Homo Deus,Yuval Noah Harari,Homo Deus: A Brief History of Tomorrow,Hardcover,2015
1084,"Thinking, Fast and Slow",Daniel Kahneman,,Paperback,2011
1085,Atomic Habits,James Clear,,Hardcover,2018
1086,The Power of Habit,Charles Duhigg,,Paperback,2012
1087,Outliers,Malcolm Gladwell,,Paperback,2008
1088,Blink,Malcolm Gladwell,,Paperback,2005
1089,The Tipping Point,Malcolm Gladwell,,Paperback,2000
1090,Freakonomics,Steven Levitt and Stephen Dubner,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Paperback,2005
1091,Rich Dad Poor Dad,Robert Kiyosaki,,Paperback,1997
1092,The Lean Startup,Eric Ries,,Paperback,2011
1093,Zero to One,Peter Thiel,,Hardcover,2014
1094,The 7 Habits of Highly Effective People,Stephen R. Covey,,Paperback,1989
1095,How to Win Friends and Influence People,Dale Carnegie,,Paperback,1936
1096,Man's Search for Meaning,Viktor E. Frankl,,Paperback,1946
1097,The Subtle Art of Not Giving a F*ck,Mark Manson,,Paperback,2016
1098,Can't Hurt Me,David Goggins,,Paperback,2018
1099,The Silent Patient,Alex Michaelides,,Hardcover,2019
1100,The Girl on the Train,Paula Hawkins,,Paperback,2015
1101,The Girl with the Dragon Tattoo,Stieg Larsson,Man som hatar kvinnor,Paperback,2005
1102,Big Little Lies,Liane Moriarty,,Paperback,2014
1103,Sharp Objects,Gillian Flynn,,Paperback,2006
1104,The Da Vinci Code,Dan Brown,,Paperback,2003
1105,Angels & Demons,Dan Brown,,Paperback,2000
1106,Inferno,Dan Brown,,Hardcover,2013
1107,The Silmarillion,J.R.R. Tolkien,,Paperback,1977
1108,American Gods,Neil Gaiman,,Paperback,2001
1109,Mort,Terry Pratchett,,Paperback,1987
1110,Guards! Guards!,Terry Pratchett,,Paperback,1989
1111,Norse Mythology,Neil Gaiman,,Hardcover,2017
1112,Circe,Madeline Miller,,Hardcover,2018
1113,The Song of Achilles,Madeline Miller,,Paperback,2011
1114,The Night Circus,Erin Morgenstern,,Paperback,2011
1115,The Ocean at the End of the Lane,Neil Gaiman,,Hardcover,2013
1116,It,Stephen King,,Paperback,1986
1117,The Stand,Stephen King,,Paperback,1978
1118,Misery,Stephen King,,Paperback,1987
1119,Pet Sematary,Stephen King,,Paperback,1983
1120,11/22/63,Stephen King,,Paperback,2011
1121,The Handmaid's Tale,Margaret Atwood,,Paperback,1985
1122,The Testaments,Margaret Atwood,,Hardcover,2019
1123,Oryx and Crake,Margaret Atwood,,Paperback,2003
